obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""332.1011""","=""0.0010""","=""332.1013""","=""0.0007""","=""35""","=""1.70e-01""",B,"=""21978.31""","=""52080.943""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.3s""","=""3S""","=""1""",,"=""T7096c74""","=""L4743""",
"=""332.1079""","=""0.0010""","=""332.1081""","=""0.0006""","=""40""","=""5.10e-01""",B,"=""21978.925""","=""52080.943""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.3s""","=""3S""","=""1""",,"=""T7096c74""","=""L4743""",
"=""332.1340""","=""0.0010""","=""332.1338""","=""0.0007""","=""45""","=""8.51e-01""",B,"=""21981.26""","=""52080.943""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.3s""","=""3S""","=""1""",,"=""T7096c74""","=""L4743""",
"=""334.5430""","=""0.0020""","=""334.5430""","=""0.0020""","=""8bl""","=""2.10e-02""",B,"=""42565.4502""","=""72448.38""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.7s""","=""1S""","=""0""",,"=""u28""","=""L2771""",
"=""336.7633""","=""0.0010""","=""336.7650""","=""0.0007""","=""11""","=""1.64e-01""",B,"=""42565.4502""","=""72251.22""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.6d""","=""1D""","=""2""",,"=""u28""","=""L4743""",
"=""345.1372""","=""0.0010""","=""345.1372""","=""0.0008""","=""1""","=""""",,"=""64428.4032""","=""93394.09""","=""1s2.2s.3d""","=""1D""","=""2""","=""1s2.2p.3d""","=""1D*""","=""2""",,"=""""","=""L4743""",
"=""345.5183""","=""0.0010""","=""345.5182""","=""0.0006""","=""17""","=""""",,"=""60187.4434""","=""89121.19""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2p.3p""","=""1P""","=""1""",,"=""""","=""L4743""",
"=""347.6564""","=""0.0010""","=""347.6564""","=""0.0010""","=""11""","=""3.11e-02""",B,"=""42565.4502""","=""71321.25""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.6s""","=""1S""","=""0""",,"=""u28""","=""L4743""",
"=""351.5539""","=""0.0010""","=""351.5545""","=""0.0004""","=""17""","=""2.74e-01""",B,"=""42565.4502""","=""71002.406""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.5d""","=""1D""","=""2""",,"=""u28""","=""L4743""",
"=""356.1310""","=""0.0020""","=""356.1317""","=""0.0011""","=""5""","=""""",,"=""70120.59""","=""98192.07""","=""1s2.2s.5p""","=""1P*""","=""1""","=""1s2.2p.4p""","=""1P""","=""1""",,"=""""","=""L2771""",
"=""373.6298""","=""0.0010""","=""373.6298""","=""0.0010""","=""13""","=""5.08e-02""",B,"=""42565.4502""","=""69322.30""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.5s""","=""1S""","=""0""",,"=""u28""","=""L4743""",
"=""381.3454""","=""0.0010""","=""381.3453""","=""0.0010""","=""22""","=""4.87e-01""",B,"=""42565.4502""","=""68780.96""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.4d""","=""1D""","=""2""",,"=""u28""","=""L4743""",
"=""386.5130""","=""0.0010""","=""386.5130""","=""0.0007""","=""3""","=""""",,"=""59694.99""","=""85560.01""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2p.3s""","=""3P*""","=""2""",,"=""""","=""L483""",
"=""386.5423""","=""0.0010""","=""386.5427""","=""0.0007""","=""5""","=""""",,"=""59696.98""","=""85560.01""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2p.3s""","=""3P*""","=""2""",,"=""""","=""L483""",
"=""386.5513""","=""0.0010""","=""386.5517""","=""0.0009""","=""1""","=""""",,"=""59693.60""","=""85556.03""","=""1s2.2p2""","=""3P""","=""0""","=""1s2.2p.3s""","=""3P*""","=""1""",,"=""""","=""L483""",
"=""386.5722""","=""0.0010""","=""386.5725""","=""0.0007""","=""2""","=""""",,"=""59694.99""","=""85556.03""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2p.3s""","=""3P*""","=""1""",,"=""""","=""L483""",
"=""386.6025""","=""0.0010""","=""386.6022""","=""0.0009""","=""3*""","=""""",,"=""59696.98""","=""85556.03""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2p.3s""","=""3P*""","=""1""",,"=""""","=""L483""",
"=""386.6025""","=""0.0010""","=""386.6037""","=""0.0012""","=""3*""","=""""",,"=""59694.99""","=""85553.94""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2p.3s""","=""3P*""","=""0""",,"=""""","=""L483""",
"=""425.305""","=""0.003""","=""425.2987""","=""0.0011""","=""6*""","=""""",,"=""62053.742""","=""85560.01""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2p.3s""","=""3P*""","=""2""",,"=""""","=""L7412""",
"=""425.305""","=""0.003""","=""425.2987""","=""0.0011""","=""6*""","=""""",,"=""62053.7385""","=""85560.01""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2p.3s""","=""3P*""","=""2""",,"=""""","=""L7412""",
"=""425.305""","=""0.003""","=""425.2987""","=""0.0011""","=""6*""","=""""",,"=""62053.742""","=""85560.01""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2p.3s""","=""3P*""","=""2""",,"=""""","=""L7412""",
"=""425.376""","=""0.003""","=""425.3707""","=""0.0009""","=""5*""","=""""",,"=""62053.742""","=""85556.03""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2p.3s""","=""3P*""","=""1""",,"=""""","=""L7412""",
"=""425.376""","=""0.003""","=""425.3707""","=""0.0009""","=""5*""","=""""",,"=""62053.7385""","=""85556.03""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2p.3s""","=""3P*""","=""1""",,"=""""","=""L7412""",
"=""425.412""","=""0.003""","=""425.4085""","=""0.0016""","=""2*""","=""""",,"=""62053.7385""","=""85553.94""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2p.3s""","=""3P*""","=""0""",,"=""""","=""L7412""",
"=""440.7935""","=""0.0010""","=""440.7936""","=""0.0004""","=""19""","=""1.01e-01""",B,"=""42565.4502""","=""65245.437""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.4s""","=""1S""","=""0""",,"=""u28""","=""L4743""",
"=""452.6409""","=""0.0020""","=""452.6406""","=""0.0010""","=""7""","=""""",,"=""67034.80""","=""89121.19""","=""1s2.2s.4p""","=""1P*""","=""1""","=""1s2.2p.3p""","=""1P""","=""1""",,"=""""","=""L2771""",
"=""""","=""""","=""454.8055""","=""0.0014""","=""""","=""1.65e-12""",B,"=""0.0000""","=""21981.26""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.2p""","=""3P*""","=""2""",M2,"=""T7096c75""","=""""",
"=""454.8538""","=""0.0002""","=""454.85379""","=""0.00021""","=""""","=""4.2e-09""",E,"=""0.0000""","=""21978.925""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.2p""","=""3P*""","=""1""",,"=""T7096c74""","=""L7430""",
"=""457.266605""","=""0.000029""","=""457.266603""","=""0.000021""","=""30""","=""7.62e-01""",B,"=""42565.4502""","=""64428.4032""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.3d""","=""1D""","=""2""",,"=""T7096c74""","=""L21345,L4743""",
"=""470.937""","=""0.002""","=""470.9391""","=""0.0016""","=""2*""","=""""",,"=""52080.943""","=""73309.17""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.8p""","=""3P*""","=""0""",,"=""""","=""L483""",
"=""470.937""","=""0.002""","=""470.9394""","=""0.0011""","=""2*""","=""""",,"=""52080.943""","=""73309.16""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.8p""","=""3P*""","=""1""",,"=""""","=""L483""",
"=""470.937""","=""0.002""","=""470.9396""","=""0.0009""","=""2*""","=""""",,"=""52080.943""","=""73309.15""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.8p""","=""3P*""","=""2""",,"=""""","=""L483""",
