obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""374.2650""","=""374.266+""","=""""","=""""",,"=""85846.7046""","=""112558.1""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).20p""","=""2[1/2]""","=""1""",,"=""""","=""L7266""",
"=""374.3074""","=""374.306+""","=""*""","=""""",,"=""85846.7046""","=""112555.2""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).20p""","=""2[3/2]""","=""2""",,"=""""","=""L7266""",
"=""374.3074""","=""374.308+""","=""*""","=""""",,"=""85846.7046""","=""112555.1""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).20p""","=""2[1/2]""","=""0""",,"=""""","=""L7266""",
"=""374.3522""","=""374.347+""","=""*""","=""""",,"=""85846.7046""","=""112552.3""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).20p""","=""2[3/2]""","=""1""",,"=""""","=""L7266""",
"=""374.3522""","=""374.362+""","=""*""","=""""",,"=""85846.7046""","=""112551.2""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).20p""","=""2[5/2]""","=""2""",,"=""""","=""L7266""",
"=""374.467""","=""374.466+""","=""""","=""""",,"=""85846.7046""","=""112543.8""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).7p""","=""2[3/2]""","=""2""",,"=""""","=""L7266""",
"=""374.6229""","=""374.62229+""","=""""","=""""",,"=""85846.7046""","=""112532.672""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).17f""","=""2[3/2]""","=""2""",,"=""""","=""L7266""",
"=""374.6632""","=""374.661+""","=""""","=""""",,"=""85846.7046""","=""112529.9""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).19p""","=""2[1/2]""","=""1""",,"=""""","=""L7266""",
"=""374.9533""","=""374.951+""","=""*""","=""""",,"=""85846.7046""","=""112509.3""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).19p""","=""2[3/2]""","=""1""",,"=""""","=""L7266""",
"=""374.9533""","=""374.953+""","=""*""","=""""",,"=""85846.7046""","=""112509.1""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).19p""","=""2[1/2]""","=""0""",,"=""""","=""L7266""",
"=""375.0151""","=""375.008+""","=""""","=""""",,"=""85846.7046""","=""112505.2""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).19p""","=""2[5/2]""","=""2""",,"=""""","=""L7266""",
"=""375.108""","=""375.108+""","=""""","=""""",,"=""85846.7046""","=""112498.1""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).7p""","=""2[1/2]""","=""1""",,"=""""","=""L7266""",
"=""375.218""","=""375.218+""","=""""","=""""",,"=""85846.7046""","=""112490.3""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).7p""","=""2[3/2]""","=""1""",,"=""""","=""L7266""",
"=""375.3166""","=""375.30752+""","=""*""","=""""",,"=""85846.7046""","=""112483.950""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).16f""","=""2[3/2]""","=""2""",,"=""""","=""L7266""",
"=""375.3166""","=""375.31832+""","=""*""","=""""",,"=""85846.7046""","=""112483.184""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).16f""","=""2[3/2]""","=""1""",,"=""""","=""L7266""",
"=""377.34238""","=""377.34230+""","=""50""","=""1.98e-02""",C,"=""80916.7680""","=""107410.379""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""",,"=""T4229n,T7199,T3378""","=""L4054""",
"=""379.68835""","=""379.68826+""","=""20""","=""""",,"=""80916.7680""","=""107246.688""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""",,"=""""","=""L4054""",
