obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""406.3577""","=""0.0005""","=""406.3577""","=""0.0003""","=""6800""","=""""",,"=""60333.4476""","=""84935.362""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.5p""","=""3D""","=""1""",,"=""""","=""L17684""",
"=""406.4271""","=""0.0005""","=""406.4264""","=""0.0003""","=""11000""","=""""",,"=""60352.6584""","=""84950.41""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.5p""","=""3D""","=""2""",,"=""""","=""L17684""",
"=""406.5246""","=""0.0005""","=""406.52425""","=""0.00003""","=""14000""","=""""",,"=""60393.1693""","=""84985.0033""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.5p""","=""3D""","=""3""",,"=""""","=""L17684""",
"=""406.6752""","=""0.0005""","=""406.6752""","=""0.0003""","=""6800""","=""""",,"=""60352.6584""","=""84935.362""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.5p""","=""3D""","=""1""",,"=""""","=""L17684""",
"=""407.0970""","=""0.0005""","=""407.0969""","=""0.0003""","=""6700""","=""""",,"=""60393.1693""","=""84950.41""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.5p""","=""3D""","=""2""",,"=""""","=""L17684""",
"=""407.2643""","=""0.0010""","=""407.2643""","=""0.0015""","=""6100*""","=""""",,"=""64086.96961""","=""88634.12""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<3/2>).7f""","=""2[7/2]""","=""4""",,"=""""","=""L17684""",
"=""407.2643""","=""0.0010""","=""407.2658""","=""0.0005""","=""6100*""","=""""",,"=""64086.96961""","=""88634.03""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<3/2>).7f""","=""2[7/2]""","=""3""",,"=""""","=""L17684""",
"=""407.3327""","=""0.0005""","=""407.3325""","=""0.0005""","=""2400""","=""""",,"=""64090.99351""","=""88634.03""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<3/2>).7f""","=""2[7/2]""","=""3""",,"=""""","=""L17684""",
"=""408.2415""","=""0.0010""","=""408.2415""","=""0.0013""","=""3300p(Ar II)*""","=""""",,"=""64086.96961""","=""88575.36""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<1/2>).7f""","=""2[7/2]""","=""3""",,"=""""","=""L17684""",
"=""408.2415""","=""0.0010""","=""408.2415""","=""0.0013""","=""3300p(Ar II)*""","=""""",,"=""64086.96961""","=""88575.36""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<1/2>).7f""","=""2[7/2]""","=""4""",,"=""""","=""L17684""",
