obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""389.386""","=""0.013""","=""389.363""","=""0.005""","=""1""","=""""",,"=""54068.6829""","=""79744.4""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.6f""","=""1F*""","=""3""",E2,"=""""","=""L7589c86""",
"=""390.1868""","=""0.0008""","=""390.1870""","=""0.0005""","=""30""","=""""",,"=""54068.6829""","=""79690.16""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.8d""","=""3D""","=""2""",,"=""""","=""L3451""",
"=""390.3638""","=""0.0020""","=""390.3636""","=""0.0003""","=""0.5""","=""""",,"=""54068.6829""","=""79678.57""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.8d""","=""3D""","=""1""",,"=""""","=""L7593c86""",
"=""390.6371""","=""0.0008""","=""390.6383""","=""0.0003""","=""40""","=""""",,"=""54068.6829""","=""79660.56""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.8d""","=""1D""","=""2""",,"=""""","=""L3451""",
"=""398.392""","=""0.005""","=""398.396""","=""0.003""","=""2""","=""""",,"=""68886.43""","=""93980.0""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6p2""","=""3P""","=""1""",,"=""""","=""L15226c86""",
"=""402.595""","=""0.008""","=""402.601""","=""0.003""","=""4""","=""""",,"=""63928.120""","=""88759.6""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).6p""","=""2[1/2]*""","=""1""",,"=""""","=""L7588c86""",
"=""404.65650""","=""0.00010""","=""404.65643""","=""0.00008""","=""12000""","=""2.07e-01""",B,"=""37644.982""","=""62350.325""","=""5d10.6s.6p""","=""3P*""","=""0""","=""5d10.6s.7s""","=""3S""","=""1""",,"=""T5292""","=""L7247""",
"=""407.78370""","=""0.00010""","=""407.78370""","=""0.00008""","=""1000""","=""4.0e-02""",B,"=""39412.237""","=""63928.120""","=""5d10.6s.6p""","=""3P*""","=""1""","=""5d10.6s.7s""","=""1S""","=""0""",,"=""T5292""","=""L7247""",
"=""410.8054""","=""0.0008""","=""410.8054""","=""0.0007""","=""70""","=""2.2e-02""",D,"=""54068.6829""","=""78404.24""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.9s""","=""1S""","=""0""",,"=""T3462""","=""L3451""",
"=""414.00""","=""0.02""","=""414.0059""","=""0.0003""","=""0""","=""""",,"=""54068.6829""","=""78216.12""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.9s""","=""3S""","=""1""",,"=""""","=""L7587c86""",
"=""431.405""","=""0.013""","=""431.4186""","=""0.0009""","=""1""","=""""",,"=""54068.6829""","=""77241.51""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.5f""","=""1F*""","=""3""",E2,"=""""","=""L7589c86""",
"=""433.92232""","=""0.00010""","=""433.92228""","=""0.00009""","=""50""","=""2.9e-02""",C+,"=""54068.6829""","=""77107.807""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.7d""","=""3D""","=""2""",,"=""T5292""","=""L3451""",
"=""434.3634""","=""0.0020""","=""434.3632""","=""0.0004""","=""1.3""","=""""",,"=""54068.6829""","=""77084.42""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.7d""","=""3D""","=""1""",,"=""""","=""L7593c86""",
"=""434.74945""","=""0.00010""","=""434.74951""","=""0.00009""","=""150""","=""8.4e-02""",B,"=""54068.6829""","=""77063.970""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.7d""","=""1D""","=""2""",,"=""T5292""","=""L3451""",
"=""435.83350""","=""0.00010""","=""435.83363""","=""0.00008""","=""12000""","=""5.6e-01""",B,"=""39412.237""","=""62350.325""","=""5d10.6s.6p""","=""3P*""","=""1""","=""5d10.6s.7s""","=""3S""","=""1""",,"=""T5292""","=""L7247""",
"=""467.0831""","=""0.0011""","=""467.0831""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83753.80""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.20p""","=""1P*""","=""1""",,"=""""","=""L11984""",
"=""467.1717""","=""0.0011""","=""467.1717""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83749.74""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.20p""","=""3P*""","=""2""",,"=""""","=""L11984""",
"=""467.2918""","=""0.0011""","=""467.2920""","=""0.0013""","=""*""","=""""",,"=""62350.325""","=""83744.23""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.20p""","=""3P*""","=""1""",,"=""""","=""L11984""",
"=""467.2918""","=""0.0011""","=""467.2920""","=""0.0022""","=""*""","=""""",,"=""62350.325""","=""83744.23""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.20p""","=""3P*""","=""0""",,"=""""","=""L11984""",
"=""468.3819""","=""0.0011""","=""468.3821""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83694.44""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.19p""","=""1P*""","=""1""",,"=""""","=""L11984""",
"=""468.4926""","=""0.0011""","=""468.4925""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83689.41""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.19p""","=""3P*""","=""2""",,"=""""","=""L11984""",
