obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""626.155""","=""626.1547+""","=""100""","=""""",,"=""113714.444""","=""129680.522""","=""2s2.2p3.(2D*).3p""","=""3F""","=""4""","=""2s2.2p3.(2D*).4d""","=""3G*""","=""5""",,"=""""","=""L3760""",
"=""""","=""630.0304""","=""""","=""5.63e-11""",B+,"=""0.000""","=""15867.862""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""1D""","=""2""",M1,"=""T4539,T5081""","=""""",
"=""""","=""630.0304""","=""""","=""2.11e-13""",C+,"=""0.000""","=""15867.862""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""1D""","=""2""",E2,"=""T4539,T5081""","=""""",
"=""""","=""632.3385""","=""""","=""1.81e-04""",C,"=""97488.378""","=""113298.320""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""632.3413""","=""""","=""6.02e-05""",D,"=""97488.448""","=""113298.320""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""632.4772""","=""""","=""3.61e-05""",D,"=""97488.378""","=""113294.854""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
"=""""","=""632.4800""","=""""","=""1.68e-04""",C,"=""97488.448""","=""113294.854""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
"=""""","=""632.4815""","=""""","=""2.68e-05""",D,"=""97488.448""","=""113294.816""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""",,"=""T5713LS""","=""""",
"=""""","=""632.4836""","=""""","=""3.76e-05""",D,"=""97488.538""","=""113294.854""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
"=""""","=""632.4851""","=""""","=""2.14e-04""",C,"=""97488.538""","=""113294.816""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""",,"=""T5713LS""","=""""",
