obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""439.241""","=""""","=""1.76e-02""",C,"=""97805.840""","=""120566.0""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""u18,LS""","=""""",
"=""""","=""443.511""","=""""","=""2.99e-02""",C,"=""97770.180""","=""120311.2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",,"=""T5714""","=""""",
"=""""","=""443.543""","=""""","=""7.51e-03""",C,"=""97770.180""","=""120309.6""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""444.214""","=""""","=""1.41e-02""",C,"=""97805.840""","=""120311.2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",,"=""T5714""","=""""",
"=""""","=""444.245""","=""""","=""3.81e-02""",C,"=""97805.840""","=""120309.6""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""446.590""","=""""","=""2.04e-04""",C,"=""97770.180""","=""120155.8""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""447.417""","=""""","=""2.76e-04""",C,"=""97805.840""","=""120150.1""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5714""","=""""",
"=""""","=""465.1823""","=""""","=""2.40e-03""",C+,"=""86137.350""","=""107628.283""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""",,"=""T6340""","=""""",
"=""""","=""466.0457""","=""""","=""6.72e-03""",C+,"=""86137.350""","=""107588.469""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""2P*""","=""1/2""",,"=""T6340""","=""""",
"=""""","=""466.291""","=""""","=""1.51e-02""",C+,"=""97770.180""","=""119210.0""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""466.9893""","=""""","=""7.49e-03""",C+,"=""86220.510""","=""107628.283""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""",,"=""T6340""","=""""",
"=""""","=""467.068""","=""""","=""3.02e-03""",C+,"=""97805.840""","=""119210.0""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",,"=""T5714""","=""""",
"=""""","=""467.068""","=""""","=""1.80e-02""",C+,"=""97805.840""","=""119210.0""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",,"=""T5714""","=""""",
"=""""","=""467.8595""","=""""","=""2.69e-03""",C+,"=""86220.510""","=""107588.469""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""2P*""","=""1/2""",,"=""T6340""","=""""",
"=""484.738""","=""""","=""180""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
"=""491.494""","=""491.4940""","=""160""","=""8.08e-03""",B,"=""86137.350""","=""106477.800""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""",,"=""T5475n""","=""L3513""",
"=""493.512""","=""493.5117""","=""210""","=""1.76e-02""",B,"=""86220.510""","=""106477.800""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""",,"=""T5475n""","=""L3513""",
"=""495.023""","=""""","=""160""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
"=""496.398""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
"=""""","=""519.7902""","=""""","=""1.60e-13""",B,"=""0.000""","=""19233.177""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""3/2""",M1,"=""T7370""","=""""",
"=""""","=""519.7902""","=""""","=""4.34e-14""",B,"=""0.000""","=""19233.177""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""3/2""",E2,"=""T7370""","=""""",
"=""""","=""519.9837""","=""""","=""1.87e-02""",D+,"=""93581.550""","=""112807.567""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""1/2""",,"=""u18,LS""","=""""",
"=""""","=""520.0257""","=""""","=""6.59e-14""",B,"=""0.000""","=""19224.464""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""5/2""",E2,"=""T7370""","=""""",
"=""""","=""520.0257""","=""""","=""9.71e-15""",B,"=""0.000""","=""19224.464""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""5/2""",M1,"=""T7370""","=""""",
"=""""","=""520.1606""","=""""","=""1.87e-02""",D+,"=""93581.550""","=""112801.031""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2P""","=""3/2""",,"=""u18,LS""","=""""",
"=""528.120""","=""528.1204""","=""185""","=""2.45e-03""",C,"=""88107.260""","=""107037.069""","=""2s.2p4""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4P*""","=""5/2""",,"=""T5475""","=""L3513""",
"=""529.268""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
"=""""","=""531.039""","=""""","=""9.40e-04""",D+,"=""96750.840""","=""115576.6""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).9s""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
