obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""572.557+""","=""""","=""1.52e-04""",E',"=""64892.582""","=""82353.25""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).10d""","=""3D*""","=""1""",,"=""T7952""","=""""",
"=""""","=""572.586+""","=""""","=""1.34e-03""",E,"=""64892.582""","=""82352.35""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).10d""","=""3D*""","=""2""",,"=""T7952""","=""""",
"=""""","=""572.638+""","=""""","=""5.30e-03""",D,"=""64892.582""","=""82350.77""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).10d""","=""3D*""","=""3""",,"=""T7952""","=""""",
"=""""","=""581.970+""","=""""","=""3.17e-03""",E,"=""64888.964""","=""82067.22""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).9d""","=""3D*""","=""1""",,"=""T7952""","=""""",
"=""""","=""582.052+""","=""""","=""4.22e-03""",D,"=""64891.386""","=""82067.22""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).9d""","=""3D*""","=""1""",,"=""T7952""","=""""",
"=""""","=""582.093+""","=""""","=""2.12e-04""",E',"=""64892.582""","=""82067.22""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).9d""","=""3D*""","=""1""",,"=""T7952""","=""""",
"=""""","=""582.099+""","=""""","=""5.67e-03""",D,"=""64888.964""","=""82063.40""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).9d""","=""3D*""","=""2""",,"=""T7952""","=""""",
"=""""","=""582.222+""","=""""","=""1.89e-03""",E,"=""64892.582""","=""82063.40""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).9d""","=""3D*""","=""2""",,"=""T7952""","=""""",
"=""""","=""582.280+""","=""""","=""7.52e-03""",D,"=""64892.582""","=""82061.70""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).9d""","=""3D*""","=""3""",,"=""T7952""","=""""",
"=""587.963""","=""587.967""","=""1""","=""3.93e-03""",D,"=""63446.065""","=""80449.10""","=""3s2.3p3.(4S*).4p""","=""5P""","=""1""","=""3s2.3p3.(4S*).8s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
"=""588.349""","=""588.351""","=""1""","=""6.53e-03""",D,"=""63457.142""","=""80449.10""","=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""3s2.3p3.(4S*).8s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
"=""588.975""","=""588.971""","=""2""","=""9.11e-03""",D,"=""63475.051""","=""80449.10""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).8s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
